beta,gamma,rho,source_distance,kernel_weight
0.15044285427794885,0.08358727908413469,0.29902117646050486,0.285400102184893,0.6885330647237685
0.15602311507362157,0.08108907627399305,0.30765240130801264,0.2859565919864404,0.6882931273831008
0.15334475897463648,0.08109613429031064,0.3012767450806405,0.2860350667669564,0.688259254425647
0.15374783882288554,0.0808828105694249,0.300980092084403,0.2863335276357825,0.6881303414876243
0.1532560639232709,0.08273030040906233,0.3056859388689014,0.2863805905416632,0.6881100015348836
0.15188947811033668,0.08518730556173598,0.3030846870374892,0.2864264586730199,0.6880901747309071
0.1513409189274385,0.08031087266477353,0.3025313653856643,0.2865317388089521,0.6880446546855938
0.15690585607141158,0.08023931929980273,0.3081227623147645,0.2871752575251345,0.68776605242247
0.14819068979733938,0.08206516188210887,0.30331603076056474,0.2877951788130609,0.6874970752794745
0.15524817761654425,0.08173215007995817,0.3046001158414254,0.2888765090739791,0.6870265095466906
0.15091143743135632,0.08032533306503403,0.2988905190533357,0.2893913347185424,0.6868018512167924
0.15949132019066653,0.0824310241960234,0.30544172580030904,0.2898865139926474,0.6865853887059133
0.1532808254534333,0.08287845410790785,0.30540793937837313,0.2900317643479946,0.6865218238140843
0.15445894645657263,0.08206401112000082,0.30255423671121545,0.2903279478140736,0.6863921084619107
0.15228378519355315,0.0824186612525778,0.3025148193312309,0.2904916290115353,0.6863203664831634
0.15614238688221446,0.08193092697668722,0.30425794931442113,0.2916623277003124,0.6858060667525875
0.15621314014949458,0.08082352419443962,0.30715739181984253,0.2919211580825919,0.6856920807407292
0.14813056512699302,0.0824889622340043,0.3030161536946021,0.2929566001100822,0.6852350723160134
0.15477473090290794,0.08054143049705487,0.30297681533120846,0.293397258695624,0.6850400899504635
0.15583348853713955,0.08309822853395656,0.30709078667149536,0.2934175769756849,0.6850310924611701
0.15096989795737525,0.08209404398660293,0.298860965393976,0.2941434217088668,0.6847092598850875
0.15300166954189223,0.07942244921193914,0.3048681483584496,0.2942548642033296,0.6846597769405699
0.15714535304251223,0.08478767991678797,0.3055846027317614,0.2948325537534336,0.6844029695193232
0.15823266901221747,0.08377595930531438,0.3057029084055741,0.2949010467577198,0.6843724880849409
0.15165552633304236,0.0808662319894473,0.30051434752575235,0.2950176152568849,0.6843205953390992
0.15895950517199606,0.07979420816255467,0.30621823400512027,0.2961093596046411,0.6838335885209884
0.1591046231961741,0.07871047013520978,0.30925156620216265,0.2961769505912932,0.6838033783076582
0.1448075233446717,0.08176060468682299,0.29594685706765617,0.296327851600582,0.6837359072791515
0.15468148990473457,0.08230343468929983,0.3020307549535721,0.2966804783090926,0.683578106439927
0.15140814428318775,0.08133423894075686,0.2984821522225004,0.2967282750253525,0.6835567029141406
0.1484868510544515,0.08098904498486062,0.2929013241872534,0.2967442385114145,0.6835495536448106
0.15825377234081783,0.08144097241666917,0.31431530618124304,0.2970217440651921,0.6834252109419965
0.15552307385011332,0.08232000444581962,0.3081282854101306,0.2977185540038856,0.6831124770037553
0.1503274029736699,0.08122798742718687,0.2988355178090975,0.2978814099082998,0.6830392803069507
0.15744342171738407,0.08179455676293848,0.3074852531272923,0.2984749644375688,0.6827721643698601
0.15693918698065554,0.08178630876842335,0.3070071379996971,0.2993553590911915,0.6823749832027128
0.15266666843321042,0.08009243883617026,0.30119071659340924,0.2999781124800792,0.6820933278924632
0.15068291126740144,0.08213747274080328,0.3016262857190461,0.3001060779636367,0.6820353799075163
0.15700595431602987,0.08338070826862196,0.31261402492920864,0.3001231332059215,0.6820276547324178
0.15367927896638311,0.08057377227768694,0.30876150199343094,0.300300662024464,0.6819472169536275
0.15321347583237072,0.07878712452418273,0.3013583609946105,0.3009280010427851,0.6816625904824967
0.15574495482705558,0.08311063332091241,0.3052837134719021,0.3012075777722877,0.6815355539529543
0.15681282107430075,0.08248379188524109,0.3066477865141224,0.3014988418353579,0.6814030813615024
0.15695082171466268,0.08151034756553627,0.3077986336520055,0.3016040008666368,0.6813552215191686
0.15501323570604683,0.07996994080140431,0.3022859278480538,0.3020227493598866,0.6811644756918258
0.1509834740124323,0.08179970178458502,0.30236061925955704,0.3021346231317019,0.6811134708187273
0.15576051346916894,0.08399970413074893,0.30746089598367954,0.3030415407709578,0.6806992966833467
0.15796089790424614,0.08063817858997478,0.30804540415844106,0.3031383268471092,0.6806550227911634
0.15327908552491748,0.08431152708104658,0.2996820645177922,0.3033580534675032,0.680554458406523
0.1570496129563394,0.0812105635634952,0.306884218472514,0.3035940615125044,0.6804463611808729
0.15001478180937544,0.08061241845672028,0.30112124956169434,0.304369347670639,0.6800906702572526
