beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1625275714906373,0.082934751698637,0.3143270886141904,0.1495082260439068,0.6601250000000001,8.6,10.805125,71.275,102.8,5.55,551.575,0.9373134328358208
0.1516048641827731,0.0811769615258264,0.3057267369053057,0.1501523675721587,0.6591250000000001,9.0,11.450249999999995,74.425,100.875,5.75,558.475,0.9376865671641792
0.1634220260618081,0.0788641527604824,0.3108375406420763,0.1522460691943007,0.667875,8.525,11.492625,74.375,104.2,5.375,538.35,0.9375621890547264
0.1631281185335342,0.0853297257414049,0.3251661816460183,0.1531094350080111,0.6533749999999999,8.65,10.697625,70.85,101.05,5.375,554.5,0.9366915422885572
0.157490244476958,0.0769314627247621,0.3084107907093413,0.1563438126449499,0.6758749999999999,8.675,12.163625,75.0,103.175,5.475,546.45,0.935820895522388
0.154707132848046,0.0814105287614942,0.293186366047531,0.1567538385663229,0.66075,8.675,11.317999999999998,77.725,96.3,5.425,522.675,0.9337064676616916
0.1592107278155821,0.0796659542305708,0.2966945152619034,0.1574800987485365,0.671375,8.625,11.620499999999998,75.325,99.875,5.525,514.325,0.9350746268656716
0.156758712731811,0.0836663303954518,0.3144908748498627,0.1605079296419526,0.645125,8.9,11.006124999999995,71.0,101.45,5.575,560.8,0.9353233830845772
0.1697618327543243,0.0843900663923211,0.3175160828395549,0.1612031863440101,0.65775,8.425,11.133625,74.05,102.65,5.375,530.525,0.9388059701492536
0.1503319956603324,0.08274783561933,0.313921428389331,0.1642658857723619,0.641,8.975,10.9665,71.525,99.225,5.6,560.875,0.9349502487562188
0.1497569512546936,0.0789506775259125,0.2841158157375637,0.1665245600133695,0.666875,8.95,11.842625,75.65,96.675,5.4,513.875,0.9354477611940296
0.1517430798604602,0.0845734815782267,0.2923982585722359,0.1701452457764719,0.6460000000000001,8.975,10.867625,72.75,93.675,5.425,523.625,0.9355721393034824
0.1644034052011188,0.0788522788232947,0.3170554909744159,0.1768164500324611,0.6721250000000001,8.525,11.730874999999996,78.525,103.275,5.375,542.275,0.9380597014925371
0.1537342661292029,0.0791315357719209,0.3105960049253073,0.1796772546326586,0.669,8.9,11.571499999999997,74.825,101.55,5.775,557.2,0.933955223880597
0.1562475401281527,0.0857217277137933,0.3132641296213713,0.1808260949575142,0.638625,9.025,10.507875,72.4,99.725,5.575,558.275,0.9351990049751244
0.1449608186096579,0.0840889718586018,0.2971258767025083,0.1815576045854998,0.6511250000000001,9.0,11.030625,72.2,98.0,5.725,552.45,0.9332089552238806
0.1560098289704616,0.0754972840600953,0.3163449798763859,0.1833756641639512,0.670875,8.825,11.9975,76.525,104.525,5.5,563.85,0.9390547263681592
0.1560285284557685,0.0831982574920865,0.3012050852930141,0.183381592115945,0.6605000000000001,8.875,11.12625,70.75,98.675,5.825,534.4,0.9376865671641792
0.157131275871923,0.0821192946889428,0.2865097930065273,0.1840286216861214,0.66325,8.725,11.195249999999998,75.425,96.1,5.35,505.05,0.9354477611940296
0.1572332300685389,0.079068063156453,0.3126277098025289,0.1840732665462778,0.679375,8.6,11.600625,75.325,105.5,5.45,557.15,0.9378109452736318
0.1625628011762264,0.0840667836384172,0.318802119852495,0.1846154088514956,0.6543749999999999,8.625,10.67475,68.925,101.475,5.575,547.7,0.9379353233830844
0.1548651643850663,0.0792201568083653,0.3096419641761759,0.1851474672768535,0.657375,9.05,11.615999999999998,76.525,99.5,5.8,547.35,0.933955223880597
0.1532173674696647,0.0762195150850863,0.2931324060320368,0.1858658022873463,0.6743750000000001,8.95,12.395625,77.975,98.7,5.65,532.575,0.9376865671641792
0.1503414721289831,0.0744904947403432,0.2910132919136338,0.1860546072664536,0.67425,8.825,12.400499999999996,78.0,97.8,5.375,526.4,0.9355721393034824
0.1564641111740389,0.0767326055285222,0.2994273288127799,0.1863314894984589,0.679875,9.0,11.913625,74.05,98.0,5.775,536.575,0.9356965174129354
0.1611636606240167,0.0863650682929107,0.3199577748964864,0.1871002100879271,0.6551250000000001,8.575,10.582375,70.25,102.625,5.525,561.05,0.9380597014925371
0.1538750300950396,0.074791633262166,0.3007651553553733,0.1877982490061011,0.6855,8.85,12.347874999999998,77.525,100.275,5.575,541.775,0.9359452736318408
